reference,country,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,billionaires
2017Saudi Arabia,Saudi Arabia,2017,6.294,10.764,0.84,66,0.814,-0.131,,0.775,0.306,3
2017Senegal,Senegal,2017,4.683,8.072,0.744,59.2,0.687,-0.044,0.825,0.746,0.291,0
2017Serbia,Serbia,2017,5.122,9.713,0.884,67.8,0.685,-0.077,0.851,0.51,0.326,0
2017Sierra Leone,Sierra Leone,2017,4.09,7.404,0.652,49.2,0.711,0.079,0.848,0.6,0.495,0
2017Singapore,Singapore,2017,6.378,11.461,0.897,76.5,0.926,0.136,0.162,0.8,0.179,5
2017Slovakia,Slovakia,2017,6.366,10.339,0.913,68.6,0.714,-0.055,0.92,0.788,0.213,0
2017Slovenia,Slovenia,2017,6.167,10.509,0.928,70.8,0.921,-0.025,0.829,0.615,0.286,0
2017South Africa,South Africa,2017,4.514,9.45,0.87,56.1,0.787,-0.129,0.865,0.785,0.268,3
2017South Korea,South Korea,2017,5.874,10.621,0.807,73.3,0.538,0.014,0.851,0.623,0.235,6
2017South Sudan,South Sudan,2017,2.817,,0.557,51,0.456,,0.761,0.586,0.517,0
2017Spain,Spain,2017,6.23,10.586,0.903,74.1,0.756,-0.032,0.791,0.625,0.302,3
2017Sri Lanka,Sri Lanka,2017,4.331,9.44,0.823,67,0.827,0.094,0.844,0.795,0.27,0
2017Sweden,Sweden,2017,7.287,10.873,0.914,72.5,0.935,0.17,0.239,0.814,0.175,11
2017Switzerland,Switzerland,2017,7.474,11.115,0.95,73.8,0.925,0.18,0.316,0.774,0.196,11
2017Taiwan Province of China,Taiwan Province of China,2017,6.359,10.871,0.891,,0.76,-0.07,0.743,0.837,0.114,0
2017Tajikistan,Tajikistan,2017,5.829,8.036,0.663,63.8,0.832,0.124,0.718,0.603,0.278,0
2017Tanzania,Tanzania,2017,3.347,7.836,0.705,57,0.8,0.116,0.654,0.715,0.255,0
2017Thailand,Thailand,2017,5.939,9.765,0.877,67,0.923,0.212,0.884,0.816,0.232,4
2017Togo,Togo,2017,4.361,7.324,0.508,54.3,0.717,-0.042,0.726,0.614,0.426,0
2017Trinidad and Tobago,Trinidad and Tobago,2017,6.192,10.183,0.916,63.5,0.859,0.015,0.911,0.846,0.248,0
2017Tunisia,Tunisia,2017,4.124,9.269,0.717,66.6,0.478,-0.219,0.869,0.421,0.377,0
2017Turkey,Turkey,2017,5.607,10.238,0.876,66.4,0.644,-0.237,0.671,0.45,0.313,0
2017Turkmenistan,Turkmenistan,2017,5.229,9.561,0.908,61.8,0.72,0.066,,0.521,0.35,0
2017Uganda,Uganda,2017,4.001,7.638,0.74,55.3,0.772,0.06,0.816,0.703,0.4,0
2017Ukraine,Ukraine,2017,4.311,9.382,0.858,64.3,0.599,-0.002,0.937,0.597,0.235,1
2017United Arab Emirates,United Arab Emirates,2017,7.039,11.115,0.836,66.9,0.962,0.216,,0.795,0.208,3
2017United Kingdom,United Kingdom,2017,7.103,10.736,0.937,72.1,0.813,0.291,0.419,0.759,0.21,13
2017United States,United States,2017,6.992,11.001,0.921,68.4,0.868,0.197,0.681,0.827,0.268,183
2017Uruguay,Uruguay,2017,6.336,9.968,0.914,68.9,0.898,-0.091,0.627,0.836,0.28,0
2017Uzbekistan,Uzbekistan,2017,6.421,8.782,0.942,64.8,0.985,0.123,0.465,0.839,0.203,0
2017Venezuela,Venezuela,2017,5.071,9.073,0.896,66.3,0.636,-0.169,0.844,0.726,0.363,0
2017Vietnam,Vietnam,2017,5.175,8.876,,67.7,,,,,,0
2017Yemen,Yemen,2017,3.254,7.578,0.79,55.9,0.595,-0.147,,0.455,0.295,0
2017Zambia,Zambia,2017,3.933,8.156,0.744,54.8,0.823,0.14,0.74,0.685,0.387,0
2017Zimbabwe,Zimbabwe,2017,3.638,8.016,0.754,55,0.753,-0.098,0.751,0.806,0.224,0
2018Afghanistan,Afghanistan,2018,2.694,7.692,0.508,52.6,0.374,-0.094,0.928,0.424,0.405,0
2018Albania,Albania,2018,5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.713,0.319,0
2018Algeria,Algeria,2018,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,0.591,0.293,0
2018Argentina,Argentina,2018,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,0.82,0.321,0
2018Armenia,Armenia,2018,5.062,9.451,0.814,66.9,0.808,-0.163,0.677,0.581,0.455,0
2018Australia,Australia,2018,7.177,10.811,0.94,73.6,0.916,0.146,0.405,0.759,0.187,6
2018Austria,Austria,2018,7.396,10.928,0.912,73,0.904,0.053,0.523,0.752,0.226,2
2018Azerbaijan,Azerbaijan,2018,5.168,9.562,0.781,65.5,0.772,-0.232,0.561,0.593,0.191,0
2018Bangladesh,Bangladesh,2018,4.499,8.399,0.706,64.3,0.901,-0.043,0.701,0.541,0.361,0
2018Belarus,Belarus,2018,5.234,9.846,0.905,66.1,0.644,-0.174,0.718,0.45,0.236,0
2018Belgium,Belgium,2018,6.892,10.844,0.93,72,0.808,-0.125,0.63,0.75,0.25,1
2018Benin,Benin,2018,5.82,8.059,0.504,54.3,0.713,0.002,0.747,0.647,0.468,0
2018Bolivia,Bolivia,2018,5.916,9.066,0.827,63.6,0.863,-0.093,0.786,0.742,0.387,0
2018Bosnia and Herzegovina,Bosnia and Herzegovina,2018,5.887,9.576,0.836,67.8,0.659,0.123,0.913,0.643,0.277,0
2018Botswana,Botswana,2018,3.461,9.778,0.795,58.9,0.818,-0.254,0.807,0.73,0.267,0
2018Brazil,Brazil,2018,6.191,9.589,0.882,66.4,0.751,-0.117,0.763,0.75,0.35,9
2018Bulgaria,Bulgaria,2018,5.099,10.007,0.924,66.8,0.724,-0.176,0.952,0.639,0.189,0
2018Burkina Faso,Burkina Faso,2018,4.927,7.665,0.665,53.9,0.721,-0.013,0.757,0.711,0.343,0
2018Burundi,Burundi,2018,3.775,6.635,0.485,53.4,0.646,-0.024,0.599,0.666,0.363,0
2018Cambodia,Cambodia,2018,5.122,8.333,0.795,61.6,0.958,0.036,,0.845,0.414,0
2018Cameroon,Cameroon,2018,5.251,8.19,0.677,52.7,0.816,0.036,0.884,0.642,0.356,0
2018Canada,Canada,2018,7.175,10.798,0.923,73.6,0.946,0.106,0.372,0.824,0.259,9
2018Chad,Chad,2018,4.486,7.363,0.577,48.2,0.65,0.024,0.763,0.553,0.544,0
2018Chile,Chile,2018,6.436,10.097,0.89,69.9,0.789,-0.06,0.816,0.833,0.276,3
2018China,China,2018,5.131,9.632,0.788,69.3,0.895,-0.159,,0.856,0.19,50
2018Colombia,Colombia,2018,5.984,9.579,0.871,67.7,0.851,-0.148,0.855,0.825,0.301,1
2018Comoros,Comoros,2018,3.973,8.028,0.621,57.2,0.56,0.086,0.794,0.748,0.337,0
2018Congo (Brazzaville),Congo (Brazzaville),2018,5.49,8.136,0.621,57.9,0.699,-0.092,0.738,0.588,0.448,0
2018Costa Rica,Costa Rica,2018,7.141,9.874,0.876,71.3,0.942,-0.107,0.781,0.87,0.326,0
2018Croatia,Croatia,2018,5.536,10.224,0.91,70.2,0.691,-0.151,0.925,0.582,0.29,0
2018Cyprus,Cyprus,2018,6.276,10.567,0.826,73.7,0.794,-0.022,0.848,0.75,0.298,1
2018Czech Republic,Czech Republic,2018,7.034,10.583,0.929,70.3,0.79,-0.292,0.851,0.714,0.178,2
2018Denmark,Denmark,2018,7.649,10.935,0.958,72.4,0.935,0.018,0.151,0.821,0.206,6
2018Dominican Republic,Dominican Republic,2018,5.433,9.782,0.862,65.8,0.867,-0.15,0.762,0.745,0.291,0
2018Ecuador,Ecuador,2018,6.128,9.355,0.851,68.5,0.869,-0.099,0.831,0.876,0.328,0
2018Egypt,Egypt,2018,4.005,9.338,0.759,61.7,0.682,-0.215,,0.492,0.285,1
2018El Salvador,El Salvador,2018,6.241,9.061,0.82,66.1,0.863,-0.095,0.801,0.86,0.27,0
2018Estonia,Estonia,2018,6.091,10.472,0.933,68.6,0.886,-0.141,0.621,0.795,0.163,0
2018Ethiopia,Ethiopia,2018,4.379,7.651,0.74,58.5,0.74,0.039,0.799,0.66,0.272,0
2018Finland,Finland,2018,7.858,10.783,0.962,71.9,0.938,-0.127,0.199,0.782,0.182,0
2018France,France,2018,6.666,10.727,0.921,73.8,0.816,-0.138,0.582,0.767,0.282,17
2018Gabon,Gabon,2018,4.783,9.599,0.785,59.7,0.719,-0.197,0.823,0.641,0.418,0
2018Gambia,Gambia,2018,4.922,7.671,0.685,55,0.719,0.44,0.691,0.804,0.379,0
2018Georgia,Georgia,2018,4.659,9.565,0.617,64.5,0.775,-0.233,0.755,0.573,0.244,1
2018Germany,Germany,2018,7.118,10.89,0.92,72.2,0.877,0.034,0.496,0.78,0.243,39
2018Ghana,Ghana,2018,5.004,8.555,0.761,57.2,0.817,0.062,0.846,0.747,0.25,0
2018Greece,Greece,2018,5.409,10.299,0.794,72.4,0.564,-0.335,0.86,0.666,0.255,0
2018Guatemala,Guatemala,2018,6.627,9.042,0.841,64.8,0.91,-0.01,0.765,0.871,0.262,0
2018Guinea,Guinea,2018,5.252,7.823,0.63,54.4,0.731,0.092,0.778,0.744,0.44,0
2018Haiti,Haiti,2018,3.615,7.477,0.538,55.7,0.591,0.422,0.72,0.584,0.359,0
2018Honduras,Honduras,2018,5.908,8.643,0.827,67.2,0.872,0.099,0.804,0.872,0.287,0
2018Hungary,Hungary,2018,5.936,10.344,0.941,67.6,0.693,-0.243,0.911,0.676,0.201,0
2018India,India,2018,3.818,8.779,0.638,60.1,0.89,0.085,0.805,0.657,0.357,26
2018Indonesia,Indonesia,2018,5.34,9.339,0.809,62.1,0.879,0.512,0.868,0.864,0.296,3
2018Iran,Iran,2018,4.278,,0.674,66,0.603,,0.703,0.553,0.493,0
2018Iraq,Iraq,2018,4.886,9.274,0.764,60.2,0.598,-0.068,0.887,0.605,0.482,0
2018Ireland,Ireland,2018,6.962,11.332,0.938,72.3,0.861,0.144,0.362,0.811,0.213,3
2018Israel,Israel,2018,6.927,10.585,0.91,73.3,0.725,0.055,0.77,0.663,0.282,3
2018Italy,Italy,2018,6.517,10.65,0.913,73.6,0.65,-0.021,0.888,0.649,0.403,8
2018Ivory Coast,Ivory Coast,2018,5.268,8.523,0.621,49.5,0.713,-0.05,0.791,0.682,0.386,0
2018Japan,Japan,2018,5.794,10.623,0.886,75,0.773,-0.261,0.687,0.703,0.185,8
2018Jordan,Jordan,2018,4.639,9.196,0.8,66.8,0.762,-0.186,,,,0
2018Kazakhstan,Kazakhstan,2018,6.008,10.148,0.937,64.6,0.84,-0.098,0.824,0.693,0.162,0
2018Kenya,Kenya,2018,4.656,8.344,0.707,60.1,0.821,0.291,0.844,0.759,0.237,0
2018Kosovo,Kosovo,2018,6.392,9.296,0.822,,0.89,0.269,0.922,0.778,0.17,0
2018Kyrgyzstan,Kyrgyzstan,2018,5.297,8.543,0.898,64.1,0.945,0.267,0.907,0.763,0.203,0
2018Laos,Laos,2018,4.859,8.935,0.705,58.7,0.907,0.141,0.634,0.852,0.332,0
2018Latvia,Latvia,2018,5.901,10.307,0.913,66.8,0.608,-0.212,0.799,0.585,0.192,0
2018Lebanon,Lebanon,2018,5.167,9.656,0.829,67.1,0.607,-0.066,0.907,0.464,0.271,0
2018Liberia,Liberia,2018,4.135,7.311,0.727,56.1,0.766,0.05,0.868,0.66,0.436,0
2018Libya,Libya,2018,5.494,9.617,0.824,62.3,0.781,-0.101,0.646,0.706,0.399,0
2018Lithuania,Lithuania,2018,6.309,10.474,0.929,67.3,0.699,-0.237,0.852,0.517,0.214,0
2018Luxembourg,Luxembourg,2018,7.243,11.645,0.902,72.6,0.884,-0.022,0.385,0.75,0.202,0
2018Madagascar,Madagascar,2018,4.071,7.386,0.666,59.1,0.551,0.003,0.889,0.752,0.362,0
2018Malawi,Malawi,2018,3.335,6.949,0.528,57.6,0.799,0.073,0.766,0.586,0.365,0
2018Malaysia,Malaysia,2018,5.339,10.223,0.789,67,0.875,0.127,0.894,0.824,0.2,6
2018Maldives,Maldives,2018,5.198,9.826,0.913,70.6,0.855,0.024,,,,0
2018Mali,Mali,2018,4.416,7.733,0.692,51.7,0.737,-0.034,0.793,0.77,0.37,0
2018Malta,Malta,2018,6.91,10.67,0.932,72.2,0.927,0.179,0.595,0.721,0.296,0
2018Mauritania,Mauritania,2018,4.314,8.526,0.802,57,0.467,-0.112,0.711,0.663,0.276,0
2018Mauritius,Mauritius,2018,5.882,10.008,0.909,66.4,0.867,-0.073,0.785,0.774,0.158,0
2018Mexico,Mexico,2018,6.55,9.903,0.858,68.3,0.816,-0.179,0.809,0.882,0.213,8
2018Moldova,Moldova,2018,5.682,9.423,0.892,65,0.824,-0.084,0.929,0.582,0.27,0
2018Mongolia,Mongolia,2018,5.465,9.386,0.942,62.3,0.696,0.054,0.849,0.654,0.192,0
2018Montenegro,Montenegro,2018,5.65,9.934,0.856,68.5,0.626,-0.051,0.769,0.59,0.355,0
2018Morocco,Morocco,2018,4.897,8.914,0.554,65.9,0.773,-0.234,0.843,0.638,0.416,0
2018Mozambique,Mozambique,2018,4.654,7.162,0.738,54.2,0.897,0.049,0.691,0.64,0.397,0
2018Myanmar,Myanmar,2018,4.411,8.523,0.774,59,0.906,0.49,0.647,0.777,0.3,0
2018Namibia,Namibia,2018,4.834,9.204,0.864,56.5,0.754,-0.169,0.846,0.739,0.24,0
2018Nepal,Nepal,2018,4.91,8.087,0.768,63.5,0.77,0.122,0.742,0.537,0.387,0
2018Netherlands,Netherlands,2018,7.463,10.941,0.939,72.3,0.92,0.161,0.371,0.862,0.205,2
2018New Zealand,New Zealand,2018,7.37,10.66,0.954,73.2,0.949,0.12,0.207,0.845,0.168,1
2018Nicaragua,Nicaragua,2018,5.819,8.647,0.854,67.5,0.797,0.009,0.713,0.793,0.408,0
2018Niger,Niger,2018,5.164,7.087,0.612,53.5,0.791,0.009,0.637,0.771,0.503,0
2018Nigeria,Nigeria,2018,5.252,8.548,0.741,49.7,0.79,-0.01,0.866,0.805,0.256,2
2018North Cyprus,North Cyprus,2018,5.608,,0.837,,0.797,,0.614,0.48,0.262,0
2018North Macedonia,North Macedonia,2018,5.24,9.677,0.849,65.389,0.745,-0.041,0.91,0.59,0.298,0
2018Norway,Norway,2018,7.444,11.056,0.966,73.2,0.96,0.094,0.268,0.827,0.212,2
2018Pakistan,Pakistan,2018,5.472,8.464,0.685,58.5,0.773,0.069,0.799,0.567,0.377,0
2018Palestinian Territories,Palestinian Territories,2018,4.554,,0.819,,0.655,,0.814,0.61,0.419,0
2018Panama,Panama,2018,6.281,10.343,0.904,69.6,0.861,-0.131,0.837,0.884,0.223,0
2018Peru,Peru,2018,5.68,9.456,0.845,68.1,0.83,-0.178,0.906,0.809,0.38,0
2018Philippines,Philippines,2018,5.869,9.05,0.846,61.9,0.918,-0.108,0.726,0.773,0.393,4
2018Poland,Poland,2018,6.111,10.366,0.863,69.3,0.87,-0.254,0.72,0.742,0.176,0
2018Portugal,Portugal,2018,5.92,10.434,0.887,72.4,0.877,-0.261,0.88,0.679,0.318,1
2018Romania,Romania,2018,6.151,10.26,0.818,67.2,0.845,-0.217,0.921,0.735,0.298,0
2018Russia,Russia,2018,5.514,10.191,0.909,64.3,0.729,-0.147,0.865,0.673,0.199,27
2018Rwanda,Rwanda,2018,3.561,7.644,0.616,61.1,0.924,0.057,0.164,0.793,0.308,0
2018Saudi Arabia,Saudi Arabia,2018,6.356,10.771,0.868,66.3,0.855,-0.192,,0.764,0.288,0
2018Senegal,Senegal,2018,4.769,8.106,0.739,59.6,0.629,-0.074,0.805,0.714,0.247,0
2018Serbia,Serbia,2018,5.936,9.762,0.853,68.2,0.74,-0.1,0.864,0.559,0.296,0
2018Sierra Leone,Sierra Leone,2018,4.306,7.417,0.65,50.8,0.716,0.095,0.856,0.552,0.466,0
2018Singapore,Singapore,2018,6.375,11.49,0.903,76.8,0.916,-0.066,0.097,0.787,0.107,4
2018Slovakia,Slovakia,2018,6.235,10.376,0.922,68.9,0.758,-0.167,0.91,0.754,0.253,0
2018Slovenia,Slovenia,2018,6.249,10.546,0.941,71.1,0.942,-0.119,0.839,0.644,0.275,0
2018South Africa,South Africa,2018,4.884,9.444,0.841,56.5,0.753,-0.05,0.841,0.812,0.283,2
2018South Korea,South Korea,2018,5.84,10.643,0.798,73.6,0.6,-0.089,0.797,0.661,0.217,8
2018Spain,Spain,2018,6.513,10.605,0.91,74.4,0.722,-0.075,0.777,0.659,0.357,4
2018Sri Lanka,Sri Lanka,2018,4.435,9.462,0.833,67.2,0.859,0.106,0.856,0.831,0.302,0
2018Swaziland,Swaziland,2018,4.212,9.06,0.779,50.353,0.71,-0.178,0.692,0.824,0.252,0
2018Sweden,Sweden,2018,7.375,10.881,0.931,72.6,0.942,0.077,0.263,0.823,0.161,11
2018Switzerland,Switzerland,2018,7.509,11.134,0.93,74.1,0.926,0.101,0.301,0.792,0.192,10
2018Taiwan Province of China,Taiwan Province of China,2018,6.467,,0.896,,0.741,,0.736,0.848,0.093,0
2018Tajikistan,Tajikistan,2018,5.497,8.082,0.875,64.1,,-0.065,0.578,0.695,0.22,0
2018Tanzania,Tanzania,2018,3.445,7.859,0.675,57.5,0.807,0.153,0.612,0.762,0.221,0
2018Thailand,Thailand,2018,6.012,9.803,0.873,67.2,0.905,0.259,0.907,0.843,0.198,3
2018Togo,Togo,2018,4.023,7.348,0.596,54.7,0.612,-0.007,0.809,0.608,0.446,0
2018Tunisia,Tunisia,2018,4.741,9.284,0.733,66.9,0.65,-0.191,0.84,0.592,0.365,0
2018Turkey,Turkey,2018,5.186,10.251,0.847,66.8,0.529,-0.176,0.805,0.435,0.351,1
2018Turkmenistan,Turkmenistan,2018,4.621,9.605,0.984,62.2,0.858,0.26,,0.612,0.189,0
2018Uganda,Uganda,2018,4.322,7.66,0.74,55.7,0.729,0.079,0.856,0.685,0.39,0
2018Ukraine,Ukraine,2018,4.662,9.42,0.901,64.6,0.663,-0.074,0.943,0.609,0.222,1
2018United Arab Emirates,United Arab Emirates,2018,6.604,11.112,0.851,67.1,0.944,0.054,,0.787,0.302,2
2018United Kingdom,United Kingdom,2018,7.233,10.743,0.928,72.3,0.838,0.226,0.404,0.783,0.228,18
2018United States,United States,2018,6.883,11.025,0.904,68.3,0.825,0.116,0.71,0.815,0.292,158
2018Uruguay,Uruguay,2018,6.372,9.98,0.917,69,0.876,-0.097,0.683,0.877,0.275,0
2018Uzbekistan,Uzbekistan,2018,6.205,8.818,0.921,65.1,0.97,0.318,0.52,0.825,0.209,0
2018Venezuela,Venezuela,2018,5.006,,0.887,66.5,0.611,,0.828,0.759,0.374,1
2018Vietnam,Vietnam,2018,5.296,8.934,0.832,67.9,0.909,-0.041,0.808,0.692,0.191,0
2018Yemen,Yemen,2018,3.058,,0.789,56.7,0.553,,0.793,0.461,0.315,0
2018Zambia,Zambia,2018,4.041,8.167,0.718,55.3,0.791,0.048,0.811,0.703,0.351,0
2018Zimbabwe,Zimbabwe,2018,3.616,8.049,0.775,55.6,0.763,-0.068,0.844,0.71,0.212,0
2019Afghanistan,Afghanistan,2019,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,0.351,0.502,0
2019Albania,Albania,2019,4.995,9.544,0.686,69,0.777,-0.099,0.914,0.681,0.274,0
2019Algeria,Algeria,2019,4.745,9.337,0.803,66.1,0.385,0.005,0.741,0.585,0.215,0
2019Argentina,Argentina,2019,6.086,10,0.896,69,0.817,-0.211,0.83,0.826,0.319,0
2019Armenia,Armenia,2019,5.488,9.522,0.782,67.2,0.844,-0.172,0.583,0.598,0.43,0
2019Australia,Australia,2019,7.234,10.815,0.943,73.9,0.918,0.121,0.43,0.77,0.202,10
2019Austria,Austria,2019,7.195,10.939,0.964,73.3,0.903,0.06,0.457,0.774,0.205,2
2019Azerbaijan,Azerbaijan,2019,5.173,9.575,0.887,65.8,0.854,-0.214,0.457,0.643,0.164,0
2019Bahrain,Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,,0.762,0.317,0
2019Bangladesh,Bangladesh,2019,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,0.537,0.369,0
2019Belarus,Belarus,2019,5.821,9.86,0.917,66.4,0.657,-0.186,0.546,0.591,0.19,0
2019Belgium,Belgium,2019,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,0.733,0.244,0
2019Benin,Benin,2019,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,0.659,0.441,0
2019Bolivia,Bolivia,2019,5.674,9.074,0.784,63.9,0.881,-0.086,0.857,0.751,0.419,0
2019Bosnia and Herzegovina,Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963,0.633,0.238,0
2019Botswana,Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,0.712,0.273,0
2019Brazil,Brazil,2019,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,0.761,0.337,13
2019Bulgaria,Bulgaria,2019,5.108,10.047,0.948,67,0.822,-0.109,0.943,0.663,0.2,0
2019Burkina Faso,Burkina Faso,2019,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,0.691,0.365,0
2019Cambodia,Cambodia,2019,4.998,8.387,0.759,62,0.957,0.013,0.828,0.844,0.39,0
2019Cameroon,Cameroon,2019,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,0.629,0.326,0
2019Canada,Canada,2019,7.109,10.8,0.925,73.8,0.912,0.112,0.436,0.822,0.285,12
2019Chad,Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.832,0.587,0.46,0
2019Chile,Chile,2019,5.942,10.095,0.869,70,0.659,-0.103,0.86,0.809,0.337,1
2019China,China,2019,5.144,9.688,0.822,69.6,0.927,-0.173,,0.891,0.147,44
2019Colombia,Colombia,2019,6.35,9.598,0.873,68,0.822,-0.172,0.854,0.822,0.322,3
2019Comoros,Comoros,2019,4.609,8.033,0.632,57.5,0.538,0.077,0.762,0.736,0.336,0
2019Congo (Brazzaville),Congo (Brazzaville),2019,5.213,8.101,0.625,58.5,0.686,-0.046,0.741,0.645,0.405,0
2019Costa Rica,Costa Rica,2019,6.998,9.885,0.906,71.5,0.927,-0.146,0.836,0.848,0.303,0
2019Croatia,Croatia,2019,5.626,10.258,0.936,70.8,0.739,-0.137,0.932,0.551,0.269,0
2019Cyprus,Cyprus,2019,6.137,10.585,0.776,73.9,0.74,-0.008,0.865,0.763,0.29,1
2019Denmark,Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.181,6
2019Dominican Republic,Dominican Republic,2019,6.004,9.821,0.884,66.1,0.877,-0.123,0.746,0.784,0.264,0
2019Ecuador,Ecuador,2019,5.809,9.339,0.808,68.8,0.83,-0.115,0.839,0.811,0.374,0
2019Egypt,Egypt,2019,4.328,9.373,0.772,62,0.774,-0.199,,0.517,0.313,2
2019El Salvador,El Salvador,2019,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,0.871,0.271,0
2019Estonia,Estonia,2019,6.035,10.511,0.934,68.8,0.887,-0.096,0.576,0.804,0.156,0
2019Ethiopia,Ethiopia,2019,4.1,7.705,0.748,59,0.754,0.053,0.732,0.631,0.283,0
2019Finland,Finland,2019,7.78,10.792,0.937,72,0.948,-0.052,0.195,0.755,0.181,1
2019France,France,2019,6.69,10.74,0.958,74,0.827,-0.133,0.568,0.735,0.25,11
2019Gabon,Gabon,2019,4.914,9.607,0.763,60.2,0.736,-0.203,0.846,0.693,0.413,0
2019Gambia,Gambia,2019,5.164,7.699,0.694,55.3,0.677,0.41,0.798,0.773,0.401,0
2019Georgia,Georgia,2019,4.892,9.617,0.675,64.3,0.811,-0.26,0.647,0.604,0.244,1
2019Germany,Germany,2019,7.035,10.893,0.886,72.5,0.885,0.057,0.462,0.751,0.226,32
2019Ghana,Ghana,2019,4.967,8.596,0.746,57.6,0.787,0.116,0.857,0.682,0.27,0
2019Greece,Greece,2019,5.952,10.319,0.891,72.6,0.614,-0.289,0.848,0.668,0.236,0
2019Guatemala,Guatemala,2019,6.262,9.064,0.774,65.1,0.901,-0.062,0.773,0.859,0.311,0
2019Guinea,Guinea,2019,4.768,7.849,0.655,55.5,0.691,0.097,0.756,0.685,0.473,0
2019Honduras,Honduras,2019,5.93,8.653,0.797,67.4,0.846,0.063,0.815,0.85,0.279,0
2019Hong Kong S.A.R. of China,Hong Kong S.A.R. of China,2019,5.659,11,0.856,,0.727,0.067,0.432,0.599,0.358,0
2019Hungary,Hungary,2019,6,10.393,0.947,68,0.798,-0.195,0.884,0.743,0.18,0
2019Iceland,Iceland,2019,7.533,10.931,0.982,73,0.959,,0.699,0.836,0.178,0
2019India,India,2019,3.249,8.818,0.561,60.5,0.876,0.112,0.752,0.648,0.466,20
2019Indonesia,Indonesia,2019,5.347,9.377,0.802,62.3,0.866,0.555,0.861,0.877,0.302,5
2019Iran,Iran,2019,5.006,,0.698,66.3,0.623,,0.728,0.6,0.449,0
2019Ireland,Ireland,2019,7.255,11.371,0.944,72.4,0.892,0.074,0.373,0.807,0.223,2
2019Israel,Israel,2019,7.332,10.601,0.946,73.5,0.834,0.085,0.743,0.635,0.266,4
2019Italy,Italy,2019,6.445,10.655,0.838,73.8,0.709,-0.082,0.866,0.631,0.328,5
2019Ivory Coast,Ivory Coast,2019,5.392,8.564,0.679,50.1,0.736,-0.017,0.799,0.674,0.425,0
2019Jamaica,Jamaica,2019,6.309,9.186,0.878,67.5,0.891,-0.137,0.885,0.752,0.195,0
2019Japan,Japan,2019,5.908,10.632,0.878,75.1,0.806,-0.255,0.617,0.743,0.194,7
2019Jordan,Jordan,2019,4.453,9.201,0.793,67,0.726,-0.165,,,,0
2019Kazakhstan,Kazakhstan,2019,6.272,10.179,0.951,65.2,0.852,-0.055,0.708,0.787,0.139,0
2019Kenya,Kenya,2019,4.619,8.373,0.676,60.7,0.818,0.31,0.794,0.751,0.251,0
2019Kosovo,Kosovo,2019,6.425,9.339,0.843,,0.841,0.247,0.92,0.749,0.141,0
2019Kuwait,Kuwait,2019,6.106,10.817,0.842,66.9,0.867,-0.104,,0.695,0.303,0
2019Kyrgyzstan,Kyrgyzstan,2019,5.685,8.567,0.877,64.4,0.92,-0.002,0.885,0.766,0.207,0
2019Laos,Laos,2019,5.197,8.965,0.729,59.1,0.906,0.061,0.62,0.878,0.306,0
2019Latvia,Latvia,2019,5.97,10.336,0.936,67.1,0.698,-0.194,0.789,0.575,0.212,0
2019Lebanon,Lebanon,2019,4.024,9.597,0.866,67.6,0.447,-0.081,0.89,0.322,0.494,0
2019Lesotho,Lesotho,2019,3.512,7.926,0.79,48.7,0.716,-0.131,0.915,0.735,0.273,0
2019Liberia,Liberia,2019,5.121,7.264,0.712,56.9,0.706,0.051,0.828,0.636,0.389,0
2019Libya,Libya,2019,5.33,9.627,0.827,62.3,0.762,-0.073,0.686,0.709,0.401,0
2019Lithuania,Lithuania,2019,6.064,10.518,0.918,67.9,0.78,-0.251,0.783,0.566,0.276,0
2019Luxembourg,Luxembourg,2019,7.404,11.648,0.912,72.6,0.93,-0.045,0.39,0.789,0.212,0
2019Madagascar,Madagascar,2019,4.339,7.406,0.701,59.5,0.55,-0.012,0.72,0.723,0.304,0
2019Malawi,Malawi,2019,3.869,6.966,0.549,58.3,0.765,0.004,0.68,0.537,0.348,0
2019Malaysia,Malaysia,2019,5.428,10.252,0.842,67.2,0.916,0.123,0.782,0.834,0.176,5
2019Mali,Mali,2019,4.988,7.752,0.755,52.2,0.67,-0.038,0.846,0.712,0.358,0
2019Malta,Malta,2019,6.733,10.677,0.922,72.2,0.924,0.087,0.689,0.707,0.356,0
